Date,Description,Amount,Currency
2024-09-14,EL AL AIRLINES 713589,-1579.00,ILS
2024-09-14,OFFICE DEPOT 1811,-230.63,ILS
2024-09-14,SUSHI BAR ROTHSCHILD,-170.06,ILS
2024-09-14,TENBIS LTD,-77.18,ILS
2024-09-14,TLV PRINTHOUSE,-158.23,ILS
2024-09-15,ARCAFFE DIZENGOFF,-22.73,ILS
2024-09-15,ORNA PRINT & DESIGN,-522.97,ILS
2024-09-15,RAMI LEVY,-141.03,ILS
2024-09-15,SHUFERSAL DEAL 7412,-79.97,ILS
2024-09-15,SUSHI BAR ROTHSCHILD,-174.20,ILS
2024-09-15,SUSHI BAR ROTHSCHILD,-148.38,ILS
2024-09-15,TENBIS LTD,-127.53,ILS
2024-09-16,APPLE.COM/BILL,-26.81,ILS
2024-09-16,APPLE.COM/BILL,-36.92,ILS
2024-09-16,ARCAFFE DIZENGOFF,-54.69,ILS
2024-09-16,CAFE NIMROD,-25.55,ILS
2024-09-16,CAFE NIMROD,-20.89,ILS
2024-09-16,RAMI LEVY,-327.26,ILS
2024-09-16,SUSHI BAR ROTHSCHILD,-205.60,ILS
2024-09-16,SUSHI BAR ROTHSCHILD,-146.69,ILS
2024-09-16,UBER *TRIP 061580,-71.34,ILS
2024-09-16,WOLT IL 001013,-105.72,ILS
2024-09-16,YANGO 484953,-67.91,ILS
2024-09-17,AIRBNB * HMXQ34007,-315.47,EUR
2024-09-17,APPLE.COM/BILL,-39.55,ILS
2024-09-17,ARCAFFE DIZENGOFF,-53.30,ILS
2024-09-17,BOOKING.COM 83800788,-225.88,EUR
2024-09-17,CAFE NIMROD,-43.83,ILS
2024-09-17,PAYPAL *UDEMY,-38.15,USD
2024-09-17,PAYPAL *UDEMY,-25.64,USD
2024-09-17,RAMI LEVY,-358.47,ILS
2024-09-17,SHUFERSAL DEAL 5486,-331.85,ILS
2024-09-17,WOLT IL 124315,-78.50,ILS
2024-09-18,BOOKING.COM 36189720,-218.97,EUR
2024-09-18,BOOKING.COM 40717579,-275.31,EUR
2024-09-18,GETT TAXI 997055,-38.47,ILS
2024-09-18,LEUMIT SERVICES LTD,-150.00,ILS
2024-09-18,ORNA PRINT & DESIGN,-162.90,ILS
2024-09-18,ORNA PRINT & DESIGN,-349.57,ILS
2024-09-18,PAYPAL *UDEMY,-61.64,USD
2024-09-18,STEAM PURCHASE,-60.75,ILS
2024-09-18,SUPER-PHARM 2492,-31.64,ILS
2024-09-18,YANGO 535102,-38.37,ILS
2024-09-19,AIRBNB * HMXQ86148,-348.67,EUR
2024-09-19,ARCAFFE DIZENGOFF,-50.35,ILS
2024-09-19,ARCAFFE DIZENGOFF,-28.23,ILS
2024-09-19,INCOMING TRANSFER ACME DIGITAL LTD INV-7309,15001.63,ILS
2024-09-19,ORNA PRINT & DESIGN,-338.70,ILS
2024-09-19,PAYONEER WITHDRAWAL 10517773,6647.19,USD
2024-09-19,PAYONEER WITHDRAWAL 80087122,2136.70,USD
2024-09-19,SHUFERSAL DEAL 0792,-153.07,ILS
2024-09-19,TLV PRINTHOUSE,-394.28,ILS
2024-09-19,WOLT IL 436046,-55.68,ILS
2024-09-20,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-20,GETT TAXI 101256,-107.86,ILS
2024-09-20,GETT TAXI 274455,-53.97,ILS
2024-09-20,KSP COMPUTERS,-253.00,ILS
2024-09-20,MISHKENOT REVIVIM 31547,-201.35,ILS
2024-09-20,OFFICE DEPOT 1537,-248.50,ILS
2024-09-20,PAYPAL *ENVATO,-33.30,USD
2024-09-20,SHUFERSAL DEAL 5407,-147.44,ILS
2024-09-21,BOOKING.COM 86552704,-305.34,EUR
2024-09-21,EL AL AIRLINES 844467,-2200.93,ILS
2024-09-21,GETT TAXI 265887,-59.46,ILS
2024-09-21,INCOMING SEPA CONTOSO GMBH INV-2364,1568.26,EUR
2024-09-21,PAYPAL *UDEMY,-64.07,USD
2024-09-21,SHUFERSAL DEAL 0571,-360.48,ILS
2024-09-21,STEAM PURCHASE,-128.29,ILS
2024-09-21,TENBIS LTD,-80.42,ILS
2024-09-21,TLV PRINTHOUSE,-369.86,ILS
2024-09-21,TLV PRINTHOUSE,-402.90,ILS
2024-09-21,UBER *TRIP 026091,-40.42,ILS
2024-09-21,UBER *TRIP 590710,-62.58,ILS
2024-09-21,YANGO 142787,-48.45,ILS
2024-09-22,APPLE.COM/BILL,-17.62,ILS
2024-09-22,APPLE.COM/BILL,-38.14,ILS
2024-09-22,APPLE.COM/BILL,-18.93,ILS
2024-09-22,ARCAFFE DIZENGOFF,-36.12,ILS
2024-09-22,EL AL AIRLINES 762992,-2358.27,ILS
2024-09-22,KSP COMPUTERS,-747.92,ILS
2024-09-22,ORNA PRINT & DESIGN,-363.40,ILS
2024-09-23,AIRBNB * HMXQ55105,-317.85,EUR
2024-09-23,EL AL AIRLINES 720262,-1922.39,ILS
2024-09-23,KSP COMPUTERS,-329.34,ILS
2024-09-23,KSP COMPUTERS,-565.49,ILS
2024-09-23,KSP COMPUTERS,-615.47,ILS
2024-09-23,LEUMIT SERVICES LTD,-150.00,ILS
2024-09-23,MISHKENOT REVIVIM 28994,-157.71,ILS
2024-09-23,ORNA PRINT & DESIGN,-311.06,ILS
2024-09-23,SHUFERSAL DEAL 2314,-291.58,ILS
2024-09-23,SUSHI BAR ROTHSCHILD,-119.52,ILS
2024-09-24,AIRBNB * HMXQ91232,-314.91,EUR
2024-09-24,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-24,APPLE.COM/BILL,-39.06,ILS
2024-09-24,BOOKING.COM 02071084,-130.15,EUR
2024-09-24,CAFE NIMROD,-43.59,ILS
2024-09-24,MISHKENOT REVIVIM 69401,-65.37,ILS
2024-09-24,PAYPAL *ENVATO,-26.80,USD
2024-09-24,SHUFERSAL DEAL 1943,-147.95,ILS
2024-09-24,SUPER-PHARM 0683,-163.21,ILS
2024-09-24,WOLT IL 459129,-156.03,ILS
2024-09-25,GETT TAXI 623401,-32.58,ILS
2024-09-25,OFFICE DEPOT 2212,-119.44,ILS
2024-09-25,ORNA PRINT & DESIGN,-280.07,ILS
2024-09-25,PAYPAL *ENVATO,-42.61,USD
2024-09-25,UBER *TRIP 232176,-45.16,ILS
2024-09-25,UBER *TRIP 445119,-73.81,ILS
2024-09-25,UBER *TRIP 943288,-43.46,ILS
2024-09-25,WOLT IL 466836,-142.23,ILS
2024-09-25,WOLT IL 876854,-48.05,ILS
2024-09-26,OFFICE DEPOT 8640,-46.02,ILS
2024-09-26,ORNA PRINT & DESIGN,-344.40,ILS
2024-09-26,STEAM PURCHASE,-98.27,ILS
2024-09-26,SUPER-PHARM 9992,-60.70,ILS
2024-09-26,SUSHI BAR ROTHSCHILD,-152.79,ILS
2024-09-26,UBER *TRIP 192402,-43.76,ILS
2024-09-26,UBER *TRIP 211432,-65.15,ILS
2024-09-26,UBER *TRIP 384882,-45.11,ILS
2024-09-26,YANGO 208868,-35.41,ILS
2024-09-26,YANGO 835230,-38.98,ILS
2024-09-27,ARCAFFE DIZENGOFF,-40.20,ILS
2024-09-27,EL AL AIRLINES 511602,-2387.28,ILS
2024-09-27,FX COMMISSION 010032,-37.68,ILS
2024-09-27,INCOMING TRANSFER ACME DIGITAL LTD INV-1489,12294.45,ILS
2024-09-27,INCOMING TRANSFER ACME DIGITAL LTD INV-7572,14345.90,ILS
2024-09-27,PAYPAL *UDEMY,-87.11,USD
2024-09-27,RAMI LEVY,-311.99,ILS
2024-09-27,SUSHI BAR ROTHSCHILD,-208.41,ILS
2024-09-27,WOLT IL 644701,-127.53,ILS
2024-09-27,YANGO 547224,-76.05,ILS
2024-09-28,APPLE.COM/BILL,-19.88,ILS
2024-09-28,EL AL AIRLINES 913354,-1707.98,ILS
2024-09-28,MISHKENOT REVIVIM 02196,-144.45,ILS
2024-09-28,MISHKENOT REVIVIM 23526,-201.94,ILS
2024-09-28,PAYPAL *ENVATO,-22.49,USD
2024-09-28,RAMI LEVY,-188.30,ILS
2024-09-28,SHUFERSAL DEAL 8093,-212.98,ILS
2024-09-28,SUSHI BAR ROTHSCHILD,-181.64,ILS
2024-09-28,TENBIS LTD,-69.21,ILS
2024-09-28,WOLT IL 042839,-139.31,ILS
2024-09-29,BOOKING.COM 97286520,-331.10,EUR
2024-09-29,GETT TAXI 648084,-58.75,ILS
2024-09-29,INCOME TAX ADVANCE PAYMENT,-3467.59,ILS
2024-09-29,ORNA PRINT & DESIGN,-180.92,ILS
2024-09-29,PAYPAL *UDEMY,-78.53,USD
2024-09-29,RAMI LEVY,-193.32,ILS
2024-09-30,APPLE.COM/BILL,-30.84,ILS
2024-09-30,BITUACH LEUMI NATIONAL INSURANCE,-1120.00,ILS
2024-09-30,CAFE NIMROD,-19.64,ILS
2024-09-30,CAFE NIMROD,-44.43,ILS
2024-09-30,RAMI LEVY,-342.52,ILS
2024-09-30,SUPER-PHARM 3766,-174.55,ILS
2024-09-30,SUSHI BAR ROTHSCHILD,-205.42,ILS
2024-09-30,TENBIS LTD,-48.46,ILS
2024-09-30,UBER *TRIP 061492,-63.43,ILS
2024-09-30,WOLT IL 349486,-129.02,ILS
